s/n,Rand 1,Rand 2,Date,Item,House Collection/ Self Pickup,Organisation,Bin Location
1447,0.138021839,0.968670021,19/03/2022,Facial Cleanser Bottle,House Collection,NA,CHONG KUO ROAD
1448,0.264945036,0.922829023,27/02/2022,Glass Medicine Bottle,Self Disposal,NA,CHOA CHU KANG STREET 62
1449,0.740045573,0.997684172,24/05/2022,Sauce Bottle,Self Disposal,NA,PUNGGOL PLACE
1450,0.737961762,0.271141876,15/03/2022,Paint Container,Self Disposal,Tidy,NA
1451,0.883931489,0.307434439,18/05/2022,Paper Packaging,Self Disposal,Alba,NA
1452,0.63293234,0.885445204,14/04/2022,Wireless Access Points,House Collection,NA,BENOI SECTOR
1453,0.066266347,0.160565245,11/03/2022,Bodywash Bottle,House Collection,Ezi,NA
1454,0.940105549,0.449893613,16/05/2022,Gift Wrapping Paper,House Collection,PWC-Sembwaste,NA
1455,0.169138037,0.340734921,12/06/2022,Facial Cleanser Bottle,House Collection,Alba E-waste Smart Recycling,NA
1456,0.116188995,0.39865878,09/06/2022,Detergent Bottle,House Collection,PWC-Alba-WH,NA
1457,0.466651582,0.078581495,03/04/2022,Canned Food Can,House Collection,Passiton.org,NA
1458,0.12783686,0.570861857,11/05/2022,Detergent Bottle,House Collection,NA,SAM LEONG ROAD
1459,0.99837318,0.110454484,18/02/2022,Plastic Takeaway Container,Self Disposal,Salvation Army,NA
1460,0.358826676,0.757440936,07/03/2022,Shampoo Bottle,House Collection,NA,LOYANG WAY 2
1461,0.614571094,0.188763805,18/04/2022,Baking Glassware,House Collection,Gee Hoe Seng Pte Ltd,NA
1462,0.430909613,0.089400304,14/02/2022,Biscuit Tin,House Collection,Passiton.org,NA
1463,0.929641179,0.310027734,26/01/2022,Desktop Monitors,Self Disposal,Alba,NA
1464,0.19635854,0.86873263,18/06/2022,Glass Cosmetic Bottle,Self Disposal,NA,TAH CHING ROAD
1465,0.002106142,0.821592506,11/02/2022,Aerosol Can,House Collection,NA,FARLEIGH AVENUE
1466,0.184645566,0.727519361,18/04/2022,Glass Cosmetic Bottle,Self Disposal,NA,FRANKEL CLOSE
1467,0.33251929,0.868077525,17/01/2022,Shampoo Bottle,House Collection,NA,YUAN CHING ROAD
1468,0.543859787,0.043855544,06/04/2022,Paper Bag,House Collection,Greensquare,NA
1469,0.112455419,0.430137659,07/04/2022,Detergent Bottle,House Collection,PWC-Sembwaste,NA
1470,0.406466026,0.134737183,20/03/2022,Beer Bottle,Self Disposal,Salvation Army,NA
1471,0.586904849,0.82102214,28/03/2022,Pencils,Self Disposal,NA,JALAN CHULEK
1472,0.708780849,0.706486944,09/06/2022,Pants,Self Disposal,NA,CRANE ROAD
1473,0.778288095,0.388715647,07/01/2022,Canned Food Can,House Collection,PWC-Alba-WH,NA
1474,0.017682215,0.847121903,20/02/2022,Aerosol Can,House Collection,NA,CLOVER CLOSE
1475,0.43388984,0.8653005,15/01/2022,Biscuit Tin,Self Disposal,NA,GATEWAY DRIVE
1476,0.988511597,0.377034319,19/01/2022,Tables,House Collection,PWC-Alba-WH,NA
1477,0.31375472,0.73004322,02/04/2022,Paint Container,Self Disposal,NA,BOWMONT GARDENS
1478,0.274597529,0.324493459,07/05/2022,Paint Container,House Collection,Alba E-waste Smart Recycling,NA
1479,0.339203343,0.198868991,12/05/2022,Shampoo Bottle,House Collection,Gee Hoe Seng Pte Ltd,NA
1480,0.611312827,0.771047168,10/06/2022,Towels,House Collection,NA,SIMEI STREET 5
1481,0.618039021,0.648048177,02/02/2022,Bodywash Bottle,Self Disposal,NA,JALAN MA'MOR
1482,0.439273128,0.191669615,28/05/2022,Biscuit Tin,House Collection,Gee Hoe Seng Pte Ltd,NA
1483,0.536564921,0.299542625,20/01/2022,Potato Chip Bag,Self Disposal,Alba,NA
1484,0.18187285,0.306842797,05/03/2022,Glass Cosmetic Bottle,Self Disposal,Alba,NA
1485,0.547658339,0.258969539,17/01/2022,Soft Toys,Self Disposal,Tidy,NA
1486,0.959663873,0.616947851,12/05/2022,CD Case,House Collection,NA,MOUNT SINAI RISE
1487,0.511583139,0.200014521,11/01/2022,Bedsheets,House Collection,Gee Hoe Seng Pte Ltd,NA
1488,0.899367961,0.342930887,05/02/2022,Book,House Collection,Alba E-waste Smart Recycling,NA
1489,0.383806432,0.844964459,08/06/2022,Beer Bottle,Self Disposal,NA,JALAN CHEGAR
1490,0.30901798,0.413980714,06/01/2022,Paint Container,House Collection,PWC-Sembwaste,NA
1491,0.125040345,0.645791172,30/01/2022,Detergent Bottle,Self Disposal,NA,LORONG 2 TOA PAYOH
1492,0.538119271,0.996150427,09/06/2022,Coffee Capsules,House Collection,NA,BEGONIA CRESCENT
1493,0.301853313,0.698820753,23/01/2022,Paint Container,Self Disposal,NA,SAINT PATRICK'S ROAD
1494,0.424169506,0.780928456,07/03/2022,Biscuit Tin,House Collection,NA,HOUGANG STREET 51
1495,0.808748947,0.590863729,29/01/2022,Biscuits,Self Disposal,NA,GRANGE ROAD
1496,0.380011497,0.447613257,03/01/2022,Beer Bottle,House Collection,PWC-Sembwaste,NA
1497,0.332617083,0.464569308,30/06/2022,Shampoo Bottle,Self Disposal,PWC-800 Super,NA
1498,0.686443223,0.731029413,12/01/2022,Pens,Self Disposal,NA,BEDOK SOUTH AVENUE 3
1499,0.637244807,0.663104621,19/02/2022,Plant,House Collection,NA,SUNDRIDGE PARK ROAD
1500,0.19720833,0.574333131,16/05/2022,Glass Cosmetic Bottle,Self Disposal,NA,BEATTY ROAD
1501,0.534981028,0.500245072,03/05/2022,Washing Machines,Self Disposal,NA,MARINA GARDENS DRIVE
1502,0.363097164,0.203715031,30/03/2022,Shampoo Bottle,House Collection,Gee Hoe Seng Pte Ltd,NA
1503,0.234249985,0.713650513,04/05/2022,Glass Medicine Bottle,Self Disposal,NA,HEMMANT ROAD
1504,0.24003038,0.585153186,12/03/2022,Glass Medicine Bottle,House Collection,NA,CAIRNHILL CIRCLE
1505,0.796753407,0.493366805,22/04/2022,Contact Lens Blister,Self Disposal,PWC-800 Super,NA
1506,0.319440912,0.963773259,07/02/2022,Shampoo Bottle,House Collection,NA,YISHUN STREET 71
1507,0.312658779,0.419494591,11/04/2022,Paint Container,House Collection,PWC-Sembwaste,NA
1508,0.022467007,0.798117049,02/01/2022,Aerosol Can,House Collection,NA,COMPASSVALE ROAD
1509,0.1328257,0.580084816,26/06/2022,Detergent Bottle,Self Disposal,NA,WILKIE TERRACE
1510,0.268136348,0.248038451,07/05/2022,Glass Medicine Bottle,Self Disposal,Tidy,NA
1511,0.789132725,0.879275828,27/04/2022,Instant Noodles,House Collection,NA,WAN LEE ROAD
1512,0.733121873,0.094611893,29/03/2022,Electric Mobility Scooters,Self Disposal,Salvation Army,NA
1513,0.400628798,0.34288048,17/05/2022,Beer Bottle,House Collection,Alba E-waste Smart Recycling,NA
1514,0.471012224,0.700975932,12/01/2022,Canned Food Can,House Collection,NA,MARTIA ROAD
1515,0.671722454,0.378794103,26/05/2022,Network Hubs,House Collection,PWC-Alba-WH,NA
1516,0.886615347,0.624542313,04/04/2022,Toys,House Collection,NA,WATTEN ESTATE ROAD
1517,0.246306951,0.57133825,07/02/2022,Glass Medicine Bottle,House Collection,NA,NORRIS ROAD
1518,0.630928581,0.915612482,29/01/2022,Crockery,House Collection,NA,CASHEW ROAD
1519,0.766476553,0.237797703,29/01/2022,Toy Cars,Self Disposal,Tidy,NA
1520,0.061533292,0.239349478,26/06/2022,Bodywash Bottle,Self Disposal,Tidy,NA
1521,0.047064325,0.140152466,14/02/2022,Bodywash Bottle,House Collection,Ezi,NA
1522,0.831387718,0.596975981,18/01/2022,Set-Top Boxes,House Collection,NA,HOLT ROAD
1523,0.338743396,0.262069781,28/03/2022,Shampoo Bottle,Self Disposal,Tidy,NA
1524,0.971156381,0.549071345,13/03/2022,Light Bulbs,House Collection,NA,COMMONWEALTH CRESCENT
1525,0.079337578,0.178071661,04/06/2022,Bodywash Bottle,House Collection,Ezi,NA
1526,0.292446334,0.209064147,24/02/2022,Paint Container,House Collection,Gee Hoe Seng Pte Ltd,NA
1527,0.507903109,0.110009606,01/04/2022,Soft Toys,Self Disposal,Salvation Army,NA
1528,0.999009645,0.002015317,12/02/2022,Bubble Wrap,House Collection,Greensquare,NA
1529,0.853329659,0.995949358,29/01/2022,Cassette Tape,Self Disposal,NA,BEGONIA ROAD
1530,0.708972293,0.334011529,01/02/2022,Shirts,House Collection,Alba E-waste Smart Recycling,NA
1531,0.735500142,0.375429988,28/06/2022,Pyrex Glass,House Collection,PWC-Alba-WH,NA
1532,0.836128065,0.52273349,28/03/2022,Plant,House Collection,NA,ARTILLERY AVENUE
1533,0.361752098,0.243230192,18/05/2022,Shampoo Bottle,Self Disposal,Tidy,NA
1534,0.459385264,0.992557297,27/02/2022,Canned Food Can,House Collection,NA,JALAN SINDOR
1535,0.667964457,0.360891787,01/03/2022,Walkers,House Collection,Alba E-waste Smart Recycling,NA
1536,0.967966786,0.295154203,08/06/2022,Canned Food/Drinks,Self Disposal,Alba,NA
1537,0.016337248,0.213972867,03/06/2022,Aerosol Can,House Collection,Gee Hoe Seng Pte Ltd,NA
1538,0.388428641,0.021147879,01/07/2022,Beer Bottle,House Collection,Greensquare,NA
1539,0.529445328,0.750135825,28/03/2022,Sunglasses,House Collection,NA,JALAN CHEMPAKA KUNING
1540,0.232184313,0.643528783,01/02/2022,Glass Medicine Bottle,House Collection,NA,GENTLE ROAD
1541,0.570126573,0.262023064,25/01/2022,Biscuits,Self Disposal,Tidy,NA
1542,0.06105015,0.731372094,28/04/2022,Bodywash Bottle,House Collection,NA,BEDOK NORTH ROAD
1543,0.120476498,0.529611096,03/01/2022,Detergent Bottle,Self Disposal,NA,SPRINGWOOD AVENUE
1544,0.130580238,0.680556455,21/05/2022,Detergent Bottle,Self Disposal,NA,STADIUM ROAD
1545,0.565735284,0.173621323,03/03/2022,Paper Packaging,House Collection,Ezi,NA
1546,0.513917599,0.29008582,28/06/2022,Light Bulbs,Self Disposal,Alba,NA
1547,0.56282346,0.484833605,21/05/2022,Glass Plate,Self Disposal,PWC-800 Super,NA
1548,0.364100372,0.372675963,25/05/2022,Beer Bottle,House Collection,PWC-Alba-WH,NA
1549,0.432081125,0.487136713,29/01/2022,Biscuit Tin,Self Disposal,PWC-800 Super,NA
1550,0.249198437,0.512860289,13/06/2022,Glass Medicine Bottle,Self Disposal,NA,CANTONMENT CLOSE
1551,0.035854702,0.54908984,28/02/2022,Aerosol Can,House Collection,NA,COMMONWEALTH CRESCENT
1552,0.46413317,0.233998004,06/03/2022,Canned Food Can,Self Disposal,Tidy,NA
1553,0.622911619,0.654479156,21/05/2022,Metal Bottle Cap,Self Disposal,NA,WHAMPOA EAST
1554,0.052660677,0.104344541,05/02/2022,Bodywash Bottle,Self Disposal,Salvation Army,NA
1555,0.211837513,0.475388869,14/02/2022,Glass Cosmetic Bottle,Self Disposal,PWC-800 Super,NA
1556,0.72497839,0.656362513,06/04/2022,Tissue Box,House Collection,NA,WILLOW AVENUE
1557,0.090609695,0.707517536,05/01/2022,Bodywash Bottle,House Collection,NA,HAIG ROAD
1558,0.540304144,0.35043218,15/05/2022,Juice Carton,House Collection,Alba E-waste Smart Recycling,NA
1559,0.740848656,0.09285174,19/01/2022,CD,Self Disposal,Salvation Army,NA
1560,0.325869597,0.275031499,25/02/2022,Shampoo Bottle,Self Disposal,Alba,NA
1561,0.071709271,0.391292855,28/02/2022,Bodywash Bottle,House Collection,PWC-Alba-WH,NA
1562,0.953439728,0.992120345,13/01/2022,Mirror,House Collection,NA,LILAC WALK
1563,0.135471744,0.594320923,23/01/2022,Detergent Bottle,Self Disposal,NA,RIDOUT ROAD
1564,0.002195004,0.651469178,14/03/2022,Aerosol Can,House Collection,NA,LORONG AMPAS
1565,0.538850446,0.651218986,21/01/2022,Facial Cleanser Bottle,Self Disposal,NA,MARTABAN ROAD
1566,0.525171276,0.454586818,25/06/2022,Printed Paper,Self Disposal,PWC-800 Super,NA
1567,0.221114775,0.310274476,06/02/2022,Glass Cosmetic Bottle,Self Disposal,Alba,NA
1568,0.917561392,0.721888837,31/05/2022,Condiment Bottle,Self Disposal,NA,SIGLAP CLOSE
1569,0.801529376,0.89061266,13/04/2022,Greeting Card,House Collection,NA,TUAS VIEW SQUARE
1570,0.173071583,0.064128083,13/04/2022,Facial Cleanser Bottle,House Collection,Passiton.org,NA
1571,0.241544932,0.489893696,16/04/2022,Glass Medicine Bottle,Self Disposal,PWC-800 Super,NA
1572,0.918072409,0.000961815,09/03/2022,Juice Carton,House Collection,Greensquare,NA
1573,0.520611556,0.805865353,22/05/2022,Metal Drink Can,House Collection,NA,POH HUAT ROAD WEST
1574,0.827753544,0.108555965,29/04/2022,Sunglasses,Self Disposal,Salvation Army,NA
1575,0.892408488,0.563667503,08/03/2022,Power Assisted Bicycles,House Collection,NA,VICTORIA STREET
1576,0.575587288,0.044346733,28/03/2022,Melamine,House Collection,Greensquare,NA
1577,0.728344456,0.514529831,21/03/2022,Sunglasses,House Collection,NA,JIAK CHUAN ROAD
1578,0.340858818,0.847736472,19/03/2022,Shampoo Bottle,House Collection,NA,BRADDELL HILL
1579,0.932764172,0.807161163,27/01/2022,Cassette Tape,House Collection,NA,LORONG BUANG KOK
1580,0.758640305,0.585906234,02/05/2022,Food Jar,House Collection,NA,ORCHARD BOULEVARD
1581,0.214482129,0.424502142,15/05/2022,Glass Cosmetic Bottle,House Collection,PWC-Sembwaste,NA
1582,0.694755508,0.865304093,17/02/2022,Medicine Blister Pack,Self Disposal,NA,GATEWAY DRIVE
1583,0.421406124,0.133817811,18/05/2022,Biscuit Tin,Self Disposal,Salvation Army,NA
1584,0.151182187,0.385676036,27/03/2022,Facial Cleanser Bottle,House Collection,PWC-Alba-WH,NA
1585,0.153085685,0.350071311,20/02/2022,Facial Cleanser Bottle,House Collection,Alba E-waste Smart Recycling,NA
1586,0.027181821,0.146528433,20/03/2022,Aerosol Can,House Collection,Ezi,NA
1587,0.487082767,0.76313539,23/01/2022,Canned Food Can,House Collection,NA,CALSHOT ROAD
1588,0.635288852,0.225835673,11/05/2022,Melamine,House Collection,Gee Hoe Seng Pte Ltd,NA
1589,0.098500064,0.03469536,03/04/2022,Detergent Bottle,House Collection,Greensquare,NA
1590,0.401361448,0.387913953,15/01/2022,Beer Bottle,House Collection,PWC-Alba-WH,NA
1591,0.9390284,0.66879941,18/06/2022,Wine Bottle,House Collection,NA,JALAN MELATI
1592,0.240902016,0.274684003,11/03/2022,Glass Medicine Bottle,Self Disposal,Alba,NA
1593,0.472032601,0.840073292,27/01/2022,Canned Food Can,Self Disposal,NA,MARIGOLD DRIVE
1594,0.243738231,0.397324131,15/02/2022,Glass Medicine Bottle,House Collection,PWC-Alba-WH,NA
1595,0.455879943,0.610133713,18/01/2022,Canned Food Can,House Collection,NA,LIM TAI SEE WALK
1596,0.767691012,0.885271665,28/04/2022,Belts,House Collection,NA,FAN YOONG ROAD
1597,0.895409049,0.698775639,15/01/2022,Windows,House Collection,NA,ONAN ROAD
1598,0.570844971,0.633389705,11/02/2022,Chairs,House Collection,NA,TOA PAYOH RISE
1599,0.306942209,0.486514762,10/06/2022,Paint Container,Self Disposal,PWC-800 Super,NA
1600,0.043973775,0.104780678,12/05/2022,Aerosol Can,Self Disposal,Salvation Army,NA
1601,0.389349092,0.574705113,22/05/2022,Beer Bottle,Self Disposal,NA,GLOUCESTER ROAD
1602,0.849215404,0.49016515,10/05/2022,Sofas,Self Disposal,PWC-800 Super,NA
1603,0.504134774,0.450745998,27/06/2022,Paper Envelope,House Collection,PWC-Sembwaste,NA
1604,0.205693185,0.682416479,28/04/2022,Glass Cosmetic Bottle,Self Disposal,NA,LORONG 24A GEYLANG
1605,0.328614027,0.089164062,16/06/2022,Shampoo Bottle,House Collection,Passiton.org,NA
1606,0.496274264,0.543602243,26/04/2022,Canned Food Can,Self Disposal,NA,ROCHESTER DRIVE
1607,0.367552105,0.846759089,04/04/2022,Beer Bottle,Self Disposal,NA,CLOVER WAY
1608,0.119560618,0.38191421,15/02/2022,Detergent Bottle,House Collection,PWC-Alba-WH,NA
1609,0.610810558,0.643889323,23/03/2022,Tables,House Collection,NA,ESSEX ROAD
1610,0.632199181,0.453412255,15/02/2022,Routers,House Collection,PWC-Sembwaste,NA
1611,0.221282228,0.436181128,13/05/2022,Glass Cosmetic Bottle,House Collection,PWC-Sembwaste,NA
1612,0.174269237,0.41759241,23/05/2022,Facial Cleanser Bottle,House Collection,PWC-Sembwaste,NA
1613,0.755759256,0.643291067,16/05/2022,Toilet Paper,Self Disposal,NA,GOLDHILL DRIVE
1614,0.084434079,0.436674642,27/05/2022,Bodywash Bottle,House Collection,PWC-Sembwaste,NA
1615,0.374219145,0.470098219,28/02/2022,Beer Bottle,Self Disposal,PWC-800 Super,NA
1616,0.061617107,0.016073508,01/01/2022,Bodywash Bottle,House Collection,Greensquare,NA
1617,0.647914984,4.87396E-05,14/06/2022,Prams,House Collection,Greensquare,NA
1618,0.140527228,0.437332661,21/03/2022,Facial Cleanser Bottle,House Collection,PWC-Sembwaste,NA
1619,0.728763881,0.998874684,10/05/2022,Shirts,Self Disposal,NA,NORTHSHORE CRESCENT
1620,0.807778305,0.80364795,18/02/2022,Sunglasses,Self Disposal,NA,PARK VILLAS RISE
1621,0.807684795,0.760806857,13/01/2022,Reusable Bags,Self Disposal,NA,LOYANG LANE
1622,0.156863258,0.668429623,22/01/2022,Facial Cleanser Bottle,House Collection,NA,JALAN MESRA
1623,0.289187376,0.906687,17/05/2022,Paint Container,House Collection,NA,LAKEPOINT DRIVE
1624,0.555451699,0.586752985,17/01/2022,Instant Noodle Bag,Self Disposal,NA,SAINT THOMAS WALK
1625,0.705213448,0.268361097,07/03/2022,Irons,Self Disposal,Tidy,NA
1626,0.487205729,0.424154954,10/06/2022,Canned Food Can,House Collection,PWC-Sembwaste,NA
1627,0.421785599,0.951594876,24/06/2022,Biscuit Tin,Self Disposal,NA,WOODLANDS INDUSTRIAL PARK E7
1628,0.040991917,0.712863679,30/03/2022,Aerosol Can,House Collection,NA,JALAN SEAVIEW
1629,0.859223922,0.57054469,21/04/2022,Plastic Takeaway Container,Self Disposal,NA,STURDEE ROAD NORTH
1630,0.68555151,0.343960885,29/01/2022,Rice Cookers,House Collection,Alba E-waste Smart Recycling,NA
1631,0.733630886,0.224820119,17/05/2022,Televisions,House Collection,Gee Hoe Seng Pte Ltd,NA
1632,0.735463941,0.944696291,07/06/2022,Potato Chip Bag,Self Disposal,NA,WOODLANDS AVENUE 2
1633,0.034509044,0.731709755,03/05/2022,Aerosol Can,Self Disposal,NA,BEDOK NORTH AVENUE 4
1634,0.462808531,0.18017107,18/03/2022,Canned Food Can,House Collection,Ezi,NA
1635,0.683365299,0.437743212,15/02/2022,Paper Receipt,House Collection,PWC-Sembwaste,NA
1636,0.529658147,0.671352399,04/05/2022,Watches,House Collection,NA,BURN ROAD
1637,0.259065222,0.410630218,04/02/2022,Glass Medicine Bottle,House Collection,PWC-Sembwaste,NA
1638,0.62777708,0.094101488,07/01/2022,Carriers,Self Disposal,Salvation Army,NA
1639,0.662784948,0.46551108,26/01/2022,Metal Bottle Cap,Self Disposal,PWC-800 Super,NA
1640,0.481999295,0.998721003,25/02/2022,Canned Food Can,House Collection,NA,NORTHSHORE LINK
1641,0.780340186,0.859628966,04/02/2022,Bubble Wrap,House Collection,NA,LORONG PISANG ASAM
1642,0.556712769,0.308623498,13/05/2022,Styrofoam,Self Disposal,Alba,NA
1643,0.435285665,0.331914175,12/04/2022,Biscuit Tin,House Collection,Alba E-waste Smart Recycling,NA
1644,0.190307152,0.282370105,28/06/2022,Glass Cosmetic Bottle,Self Disposal,Alba,NA
1645,0.504982674,0.347567435,01/07/2022,Plastic Egg Tray,House Collection,Alba E-waste Smart Recycling,NA
1646,0.048405534,0.385378286,24/02/2022,Bodywash Bottle,House Collection,PWC-Alba-WH,NA
1647,0.380350377,0.812011392,07/02/2022,Beer Bottle,Self Disposal,NA,SERANGOON CENTRAL DRIVE
1648,0.095525314,0.695396139,29/04/2022,Detergent Bottle,House Collection,NA,JALAN SENANG
1649,0.302147942,0.199712861,14/02/2022,Paint Container,House Collection,Gee Hoe Seng Pte Ltd,NA
1650,0.745759984,0.270877133,06/01/2022,Sports Shoes,Self Disposal,Tidy,NA
1651,0.305736184,0.393819643,12/01/2022,Paint Container,House Collection,PWC-Alba-WH,NA
1652,0.046074712,0.696256599,07/06/2022,Bodywash Bottle,Self Disposal,NA,JALAN LAPANG
1653,0.743146072,0.511575596,06/03/2022,Paper Towel Roll,Self Disposal,NA,PRINCE EDWARD ROAD
1654,0.499667472,0.139763726,08/02/2022,Canned Food Can,House Collection,Ezi,NA
1655,0.095286048,0.263213443,21/02/2022,Detergent Bottle,Self Disposal,Tidy,NA
1656,0.513589158,0.57927685,20/01/2022,Wireless Access Points,House Collection,NA,BELILIOS ROAD
1657,0.688453255,0.034208313,04/01/2022,Reusable Bags,House Collection,Greensquare,NA
1658,0.587574988,0.231941486,21/01/2022,Toy Cars,Self Disposal,Tidy,NA
1659,0.367343075,0.941673988,16/04/2022,Beer Bottle,Self Disposal,NA,GAMBAS AVENUE
1660,0.765504978,0.372331292,30/04/2022,Slippers,House Collection,PWC-Alba-WH,NA
1661,0.847393258,0.855917983,07/06/2022,Handbags,House Collection,NA,TOH TUCK WALK
1662,0.526095351,0.113369879,23/06/2022,Tissue Box,Self Disposal,Salvation Army,NA
1663,0.185323608,0.99402608,12/06/2022,Glass Cosmetic Bottle,Self Disposal,NA,JALAN KERUING
1664,0.914395033,0.922765008,23/06/2022,Potato Chip Bag,House Collection,NA,CHOA CHU KANG NORTH 6
1665,0.241210808,0.080036239,28/06/2022,Glass Medicine Bottle,House Collection,Passiton.org,NA
1666,0.237645361,0.321960292,13/03/2022,Glass Medicine Bottle,House Collection,Alba E-waste Smart Recycling,NA
1667,0.013390937,0.584737573,14/06/2022,Aerosol Can,Self Disposal,NA,CAVENAGH ROAD
1668,0.451142624,0.883994279,20/06/2022,Biscuit Tin,House Collection,NA,GUL ROAD
1669,0.087893216,0.199674181,20/01/2022,Bodywash Bottle,House Collection,Gee Hoe Seng Pte Ltd,NA
1670,0.728405467,0.702094752,20/06/2022,Watches,House Collection,NA,LORONG 110 CHANGI
1671,0.544856397,0.586899028,08/04/2022,Plastic Film Packaging,Self Disposal,NA,RODYK STREET
1672,0.970593735,0.603996771,27/04/2022,Switches,Self Disposal,NA,FERNHILL CLOSE
1673,0.9337494,0.770130473,17/01/2022,Paper Cup,Self Disposal,NA,SIMEI STREET 2
1674,0.907903329,0.673836239,14/01/2022,Shorts,House Collection,NA,SIMS CLOSE
1675,0.163263001,0.899380528,24/02/2022,Facial Cleanser Bottle,House Collection,NA,TUAS AVENUE 3
1676,0.145245174,0.812842396,21/05/2022,Facial Cleanser Bottle,House Collection,NA,TAVISTOCK AVENUE
1677,0.991910285,0.195850334,02/06/2022,Refrigerators,House Collection,Gee Hoe Seng Pte Ltd,NA
1678,0.542660334,0.852260581,05/05/2022,Glass Bowl,House Collection,NA,GREENBANK PARK
1679,0.576751803,0.396502449,16/06/2022,Tissue Paper,House Collection,PWC-Alba-WH,NA
1680,0.111212031,0.394720493,05/04/2022,Detergent Bottle,House Collection,PWC-Alba-WH,NA
1681,0.763686563,0.637297013,23/01/2022,Printed Paper,Self Disposal,NA,DUNEARN CLOSE
1682,0.931893534,0.299713032,06/05/2022,Electric Mobility Scooters,Self Disposal,Alba,NA
1683,0.475992781,0.564579058,06/05/2022,Canned Food Can,Self Disposal,NA,OPHIR ROAD
1684,0.654156367,0.734775521,04/01/2022,Washing Machines,House Collection,NA,KEW CRESCENT
1685,0.072349433,0.393165174,08/03/2022,Bodywash Bottle,House Collection,PWC-Alba-WH,NA
1686,0.944146557,0.913072852,06/06/2022,Toasters,Self Disposal,NA,PHOENIX AVENUE
1687,0.072027282,0.065055139,19/05/2022,Bodywash Bottle,House Collection,Passiton.org,NA
1688,0.335094691,0.718817521,30/03/2022,Shampoo Bottle,Self Disposal,NA,LA SALLE STREET
1689,0.62153164,0.838563202,14/06/2022,CD,House Collection,NA,SECTOR B SIN MING INDUSTRIAL ESTATE
1690,0.693586379,0.05112907,30/01/2022,Power Assisted Bicycles,House Collection,Passiton.org,NA
1691,0.736696082,0.33067489,15/04/2022,Plant,House Collection,Alba E-waste Smart Recycling,NA
1692,0.546148743,0.86124042,21/04/2022,Irons,Self Disposal,NA,GREENRIDGE CRESCENT
1693,0.573676523,0.244162683,12/05/2022,Long Fluorescent Tubes,Self Disposal,Tidy,NA
1694,0.774450387,0.071759678,03/01/2022,Melamine,House Collection,Passiton.org,NA
1695,0.47487047,0.121215027,29/04/2022,Canned Food Can,Self Disposal,Salvation Army,NA
1696,0.737742788,0.774137268,27/01/2022,Glass Cosmetic Bottle,House Collection,NA,TAMPINES AVENUE 4
1697,0.894706881,0.245268182,06/03/2022,Styrofoam,Self Disposal,Tidy,NA
1698,0.261051795,0.09207423,09/03/2022,Glass Medicine Bottle,Self Disposal,Salvation Army,NA
1699,0.386575284,0.511778439,04/06/2022,Beer Bottle,House Collection,NA,PALMER ROAD
1700,0.868124479,0.031796029,04/03/2022,Shorts,House Collection,Greensquare,NA
1701,0.81472159,0.121741432,06/03/2022,Paper Towel,Self Disposal,Salvation Army,NA
1702,0.7806358,0.413403819,18/02/2022,CD,House Collection,PWC-Sembwaste,NA
1703,0.460992905,0.788228643,16/05/2022,Canned Food Can,House Collection,NA,PAYA LEBAR PLACE
1704,0.526297019,0.586608589,21/01/2022,Irons,Self Disposal,NA,TANK ROAD
1705,0.848684624,0.78792385,10/01/2022,Canned Food/Drinks,Self Disposal,NA,PAYA LEBAR WALK
1706,0.665005801,0.269909188,06/03/2022,Carton Box,Self Disposal,Tidy,NA
1707,0.004568792,0.783061913,18/02/2022,Aerosol Can,Self Disposal,NA,LORONG HALUS
1708,0.756028903,0.839535659,09/02/2022,Wax Paper,Self Disposal,NA,PEMIMPIN DRIVE
1709,0.257487989,0.851463788,26/03/2022,Glass Medicine Bottle,Self Disposal,NA,JALAN BANGKET
1710,0.51725059,0.239560806,23/01/2022,Toilet Paper,Self Disposal,Tidy,NA
1711,0.426420421,0.724521387,16/06/2022,Biscuit Tin,House Collection,NA,JALAN TUA KONG
1712,0.4299325,0.293646177,07/03/2022,Biscuit Tin,Self Disposal,Alba,NA
1713,0.864627568,0.936440032,19/05/2022,Toasters,Self Disposal,NA,WOODLANDS AVENUE 3
1714,0.673883472,0.524367336,08/01/2022,Refrigerators,House Collection,NA,DEPOT WALK
1715,0.736034259,0.815536419,31/03/2022,Video Tape,House Collection,NA,CHUAN CLOSE
1716,0.185946643,0.328454108,21/05/2022,Glass Cosmetic Bottle,House Collection,Alba E-waste Smart Recycling,NA
1717,0.269587231,0.939834564,22/02/2022,Glass Medicine Bottle,Self Disposal,NA,WOODLANDS STREET 81
1718,0.059991772,0.862910906,02/06/2022,Bodywash Bottle,House Collection,NA,BROOKVALE WALK
1719,0.30260416,0.961503188,10/05/2022,Paint Container,Self Disposal,NA,YISHUN STREET 11
1720,0.910212431,0.347780915,24/01/2022,Modems,House Collection,Alba E-waste Smart Recycling,NA
1721,0.837754581,0.740236518,15/04/2022,Biscuit Tin,Self Disposal,NA,BILAL LANE
1722,0.309704459,0.251205895,15/01/2022,Paint Container,Self Disposal,Tidy,NA
1723,0.742835303,0.38074002,31/05/2022,Paper Envelope With Window,House Collection,PWC-Alba-WH,NA
1724,0.214765513,0.709050147,03/01/2022,Glass Cosmetic Bottle,House Collection,NA,BOURNEMOUTH ROAD
1725,0.584325768,0.137605606,29/03/2022,Plastic Clothes Hanger,House Collection,Ezi,NA
